name,description,price,image_path
AeroMesh Ergonomic Task Chair,Breathable mesh back with dynamic lumbar support and 3D adjustable armrests.,249.99,assets\models\aeromesh.obj
Summit High-Back Executive Chair,Bonded leather upholstery with deep padded cushioning and polished chrome base.,329.5,assets/images/summit_executive.png
ProDraft Heavy-Duty Drafting Stool,Extended pneumatic height adjustment with integrated steel foot ring.,189.0,assets/images/prodraft_stool.png
Komorebi Scandinavian Accent Chair,Solid ash wood frame with minimalist woven wool blend upholstery.,215.0,assets/images/komorebi_accent.png
Apex Pro Esports Gaming Chair,Cold-cure foam padding with 165-degree recline and magnetic neck pillow.,379.99,assets/images/apex_gaming.png
Vantage Ribbed Mid-Back Chair,Sleek faux leather ribbed styling suitable for conference rooms and home studios.,169.99,assets/images/vantage_midback.png
Modesto Molded Shell Dining Chair,Mid-century minimalist polypropylene shell with matte black steel wire legs.,79.0,assets/images/modesto_shell.png
PosturePlus Kneeling Balance Chair,Ergonomic angled kneeling design to improve posture and relieve spinal pressure.,129.95,assets/images/postureplus_kneeling.png
Haven Velvet Tufted Club Chair,Plush velvet armchair with channel tufting and brass-tipped tapered legs.,289.0,assets/images/haven_velvet.png
Oasis Active Wobble Stool,Counterbalanced wobble base encouraging active sitting and core engagement.,99.5,assets/images/oasis_wobble.png
Titan Leatherette Big & Tall Chair,Reinforced steel frame supporting up to 400 lbs with heavy-duty tilt lock.,399.0,assets/images/titan_bigtall.png
Solstice Woven Rattan Lounge Chair,Natural hand-woven rattan backrest with removable linen cushion.,175.0,assets/images/solstice_rattan.png
Flexform Synchronous Mesh Chair,Synchro-tilt mechanism with self-adjusting weight-activated tension control.,299.99,assets/images/flexform_mesh.png
Foundry Industrial Cafe Chair,Distressed gunmetal steel chair with stackable design and rubber foot glides.,64.5,assets/images/foundry_cafe.png
Zenith Folding Conference Chair,High-density cushioned folding chair with integrated ganging brackets.,49.99,assets/images/zenith_folding.png
Cosmo Boucle Barrel Chair,Textured cream boucle fabric on a smooth 360-degree brushed gold swivel base.,310.0,assets/images/cosmo_boucle.png
